idx,id,stratum,source_entity,target_entity,qual_score,independent_sources,evidence_excerpt,core120b_decision,core120b_conf,core120b_rationale,slm8b_decision,slm8b_conf,slm8b_rationale,nemotron_decision,nemotron_conf,nemotron_rationale,gptoss_decision,gptoss_conf,gptoss_rationale
46,250360ed-fe42-43c0-83e1-1507dbe45f5c,S2_mid,Europe,Labour,0.3029,1,"**Macron thanked Starmer, who stepped down as the Labour party leader earlier in the day and will resign as the UK prime minister later this year, and pledged to pursue the policy they had outlined jointly. ** ""Joint work accomplished in the area of defense, nuclear energy, space and innovations, in",REJECT,,"Mention of Labour leader in Europe context, no direct relation.",REJECT,,Macron and Starmer's joint policy,AffiliatedWith,0.7,"Macron thanked Starmer, Labour leader, for joint defense and policy work.",REJECT,,Europe and Labour only co-occur in political comment
47,2770c173-30d7-41f9-a657-414ebcc708ed,S2_mid,Saudi Arabia,Texas,0.3206,1,"**The Cape Verde national team played to a 0-0 draw against Saudi Arabia in their third group stage match of the FIFA** **World Cup**, hosted by the US city of Houston in the state of Texas. Cape Verde, making its FIFA World Cup debut, earned three points in Group H and advanced to the knockout stag",REJECT,,"Sports match location, not a substantive relationship.",REJECT,,Saudi Arabia plays in FIFA World Cup in Texas,REJECT,,Co-mention due to FIFA match location does not imply a substantive relationship.,REJECT,,Match mention does not imply relationship
48,36cb497c-7f9a-46dd-bed4-b428065d33c1,S2_mid,Damen,TSSM,0.3853,2,"Damen Launches Second CSOV 9020 for TSSM — Damen Shipyards Group has launched the second in a series of two Commissioning Service Operations Vessels (CSOV) 9020 for Ta San Shang Marine Co., Ltd... co_mentioned: Commissioning Service Operations Vessels ( CSOV ) 9020, Damen Shipyards Group, Ta San Sha",InvolvedIn,0.7,Damen built and launched vessel for TSSM.,SuppliesWeaponsTo,0.85,Damen launched a CSOV 9020 for TSSM,SuppliesWeaponsTo,0.85,"Damen launched CSOV 9020 vessels for TSSM, indicating a supply relationship.",REJECT,,Shipbuilder delivers vessel to client; no matching relationship type.
49,49a7f9bb-619b-4445-9c08-7336c4b82344,S2_mid,Africa,Texas,0.3206,1,"Africa: Saidu B. Samaila &#x26;amp; Co. Chartered Accountants Partners With Chamco Digital LLC To Launch AI &#x26;amp; Cloud Technology Workforce Training Programme — [Saidu B. Samaila &#x26;amp; Co.] Saidu B. Samaila &#x26;amp; Co. Chartered Accountants, through its Training &#x26;amp; Management C",REJECT,,No substantive link between Africa and Texas.,REJECT,,"Africa and Texas are mentioned in the same article, but there is no relationship",REJECT,,No meaningful relationship; co-mention in unrelated contexts.,REJECT,,Continent and state only co‑mentioned; no direct link.
50,4acd1f58-8c85-4fea-ae89-f220e51192f4,S2_mid,Karolina Muchova,Noskova,0.3946,2,"Noskova defeats Muchova in Wimbledon final to record first Grand Slam title — Linda Noskova&#039;s victory over Karolina Muchova makes her the third Czech women&#039;s singles champion in past four years. co_mentioned: Czechia, Muchova",HostileTo,0.9,Noskova defeated Muchova in Wimbledon final.,HostileTo,0.85,Noskova defeated Muchova in the Wimbledon final,HostileTo,0.85,"Noskova defeated Muchova in a competitive match, indicating a hostile sporting relationship.",HostileTo,0.7,Noskova defeated Muchova in Wimbledon final.
51,4b475bd5-2232-4478-a998-3b9f909cd355,S2_mid,Israel,Navy,0.3131,1,"US general tells Pentagon he lacks naval forces to protect Israel: Report — Without another Navy destroyer, Gen. Alexus Grynkewich said he would have to prioritize defense of US over Israel, reports Washington Post co_mentioned: Alexus Grynkewich, Pentagon, United States",REJECT,,Only US Navy mentioned; no Israel‑Navy link.,HostileTo,0.85,US general lacks naval forces to protect Israel,SuppliesWeaponsTo,0.6,"US general cites lack of naval forces to protect Israel, implying US supports Israel's defense.",REJECT,,No clear relationship; only protective comment mentioned.
52,6a8d0ba3-4a90-413b-9314-7aa4ff789e56,S2_mid,Fields Medal,The International Mathematical Union,0.3946,2,"[**Fields medal honours four mathematicians as AI reshapes the profession**](https://f24.my/C4Wp.g) The International Mathematical Union awarded the prestigious Fields Medal to four mathematicians on Thursday, including only the third woman to receive the honour, as researchers weighed the growing i",InvolvedIn,0.9,IMU awarded the Fields Medal to mathematicians.,REJECT,,"Fields Medal and The International Mathematical Union are mentioned in the same article, but there is no relationship",PartOf,0.85,"The International Mathematical Union awarded the Fields Medal, indicating the medal is part of its activities.",InvolvedIn,0.9,IMU awarded the Fields Medal to mathematicians.
53,70cbfd97-4780-4349-862c-7a059f36636b,S2_mid,Jorge Rodriguez,the Bolivarian Republic,0.4018,2,"Death toll from Venezuela earthquake rises to 4,333 — According to President of the Bolivarian Republic’s National Assembly Jorge Rodriguez, 16,740 people were injured co_mentioned: National Assembly, Venezuela",AffiliatedWith,0.8,Rodriguez is National Assembly president of the Bolivarian Republic.,LeaderOf,0.85,Jorge Rodriguez is the President of the Bolivarian Republic's National Assembly,LeaderOf,0.85,"Jorge Rodriguez is President of the Bolivarian Republic's National Assembly, indicating a leadership role.",LeaderOf,0.9,Jorge Rodriguez leads Venezuela's National Assembly.
54,849551b0-6896-40e4-bcbd-beb44f5422b1,S2_mid,Germany,Yemen,0.3406,1,شركة ألمانية تعلّق عملها في منشأة ينبع بعد استهدافها بالصواريخ والمسيّرات اليمنية https://ansarollah.com.ye/archives/861295,HostileTo,0.75,"Yemeni missiles targeted German facility, prompting suspension.",HostileTo,0.6,Germany was targeted by Yemeni missiles and drones,HostileTo,0.6,"Yemeni missiles and drones targeted a German facility, indicating hostile action by Yemen against Germany.",HostileTo,0.75,Yemeni missiles attacked German facility in Yanbu.
55,8639ba4e-36be-41b0-98ea-cb64845f1cc3,S2_mid,Austria,Pakistan,0.3012,1,"MOUNTAINEERING: THE LAST DESCENT — <figure class=""media w-full sm:w-full media--center media--uneven media--stretch""> <div class=""media__item ""><img alt="" Austrian Markus Kronthaler&rsquo;s remains being brought down from Broad Peak. Six Pakistani and two Austrian mountaineers collaborated in the 20",AlliedWith,0.7,Austrian and Pakistani climbers cooperated on 2007 rescue mission.,REJECT,,"Austria and Pakistan are mentioned in the same article, but there is no relationship",REJECT,,No meaningful relationship; co-mention in unrelated contexts (mountaineering photo).,AlliedWith,0.7,Austrian and Pakistani climbers jointly rescued mountaineers in 2007.
56,89303f7d-566b-411e-b126-0998601b8cbb,S2_mid,Jarell Quansah,Reece James,0.3946,2,"[**Panama vs England: Saka, Rashford start for Three Lions in final World Cup group match**](https://f24.my/C1FX.g) England take on Panama at the MetLife Stadium on Friday, aiming to end the World Cup’s group phase on a high after their faux pas against Ghana. Jarell Quansah gets his first ​World Cu",REJECT,,"Quansah replacing James is a roster change, not a relationship.",CoOccursWith,0.85,Jarell Quansah replaced injured Reece James for England,AffiliatedWith,0.85,"Quansah replaced James in the World Cup match, indicating both are affiliated with the England team.",REJECT,,Quansah substituted for James; no directed relationship.
57,8b8a3ed2-6107-4332-a96b-609a7d030784,S2_mid,Japan,Mexico,0.341,1,"**The Japanese national team defeated Tunisia 4–0 in their second-round group stage match at the FIFA World Cup**, which took place in Mexico’s Monterrey. This match **marked the 1,000th in FIFA World Cup history**. Japan earned four points and is in second place in Group F, while the Netherlands le",REJECT,,Japan and Mexico only co-occur as match location.,LocatedIn,0.85,Japan played a match in Mexico's Monterrey,LocatedIn,0.6,"Japan's match took place in Mexico's Monterrey, indicating the event was located in Mexico.",LocatedIn,0.7,Japan's match took place in Mexico's Monterrey.
58,93c4719f-9311-4170-bb60-c09a39bbc2cf,S2_mid,Kolvet,TPUSA,0.3946,2,"“We’re told they…”: Candace Owens challenges Andrew Kolvet with ‘retraction’ demand in escalating Charlie Kirk feud — <img align=""left"" border=""0"" hspace=""10"" src=""https://timesofindia.indiatimes.com/photo/132569938.cms"" style=""margin-top: 3px; margin-right: 5px;"" />Candace Owens and TPUSA spokesman",AffiliatedWith,0.8,Kolvet serves as TPUSA spokesman.,AffiliatedWith,0.85,Candace Owens is affiliated with TPUSA,HostileTo,0.6,"Candace Owens challenged Andrew Kolvet with a retraction demand, indicating a hostile exchange.",AffiliatedWith,0.8,Andrew Kolvet serves as TPUSA spokesperson.
59,94933870-3c4f-47e5-8e28-a686ef18593c,S2_mid,India,Romania,0.3015,1,"India, Romania working towards agreement for movement of skilled professionals — India, Romania working towards agreement for movement of skilled professionals",AlliedWith,0.75,Both countries negotiating skilled‑professional movement agreement.,MemberOf,0.85,India and Romania are working towards an agreement,PartyTo,0.6,"India and Romania are working towards an agreement, indicating they are parties to a potential agreement.",InvolvedIn,0.75,India and Romania negotiate skilled‑workers movement agreement.
60,95ab34e8-1acb-4c87-b330-eae5665d92cb,S2_mid,Essequibo,Mark Phillips,0.3853,2,"[**Guyana ferry capsizes, leaving at least 27 dead and 83 missing**](https://f24.my/C4Bq.g) At least 27 people died after a ferry capsized off Guyana, Prime Minister Mark Phillips said Monday, as rescuers searched for 83 people still missing. Sixty-nine passengers have been rescued since the MV Bari",REJECT,,Only co-mentioned in ferry incident,LocatedIn,0.85,Mark Phillips mentioned Essequibo as a region,REJECT,,Co-mention in news report; no relationship indicated,REJECT,,No directed link between region and prime minister
61,97bcd17c-9c53-4814-bdb5-a70af94fda0c,S2_mid,LAF,Lebanon,0.3853,2,"As the Lebanese Armed Forces (LAF) celebrates 81st Army Day today, UNIFIL remains committed to supporting efforts to consolidate LAF presence and enhance State authority in south Lebanon. Our decades-long partnership contributes to the shared goal of lasting security and stability in south Lebanon. ",PartOf,0.9,LAF is Lebanon's armed forces,LocatedIn,0.85,LAF mentioned as part of Lebanese Armed Forces,PartOf,0.95,LAF is part of Lebanon's armed forces,PartOf,0.9,LAF is part of Lebanon's armed forces
62,99b12914-a72d-4687-84ac-9445e7949e11,S2_mid,Village People,Willis,0.4018,2,"**Умер лидер группы Village People Виктор Уиллис — автор хита «Y.M.C.A.»** Лидер Village People Виктор Уиллис умер в возрасте 74 лет после «непродолжительной, но агрессивной болезни», сообщила группа в своих соцсетях. Уиллис был соавтором и исполнителем главных хитов группы — «Y.M.C.A», «Go West» и ",AffiliatedWith,0.9,Willis was leader of Village People,REJECT,,No meaningful relationship between Village People and Willis,LeaderOf,0.9,Viktor Willis was leader of Village People,LeaderOf,0.9,Willis led the Village People
63,9c5c913e-1559-4797-86f1-82c85e3cceb2,S2_mid,China,Los Angeles,0.3106,1,"China releases imprisoned pastor Ezra Jin after U.S. pressure — The leader of a prominent Chinese underground church arrived in Los Angeles on Friday, his family said. co_mentioned: Ezra Jin, United States",REJECT,,Only co-mentioned via released pastor,LocatedIn,0.85,"China mentioned as the country of origin for Ezra Jin, who arrived in Los Angeles",REJECT,,Co-mention in news about pastor's release; no China-LA relationship,REJECT,,No direct China‑Los Angeles relationship shown
64,9d760468-6580-4c1f-8b38-41be7d4ab6d1,S2_mid,Belarus,Israel,0.328,1,"**Belarusian President Alexander Lukashenko has spoken in favor of ridding the world of nuclear weapons entirely. ** ""I’m for nuclear disarmament, and this applies to everyone: Russia, the United States, China, Israel, India, Pakistan, and other nations,"" he was quoted as saying by BelTA in an inter",REJECT,,Only statement about nuclear disarmament,REJECT,,"No meaningful relationship between Belarus and Israel, as the quote mentions multiple countries and does not imply a specific connection between Belarus and Israel",REJECT,,Co-mention in nuclear disarmament statement; no bilateral relationship,REJECT,,No substantive Belarus‑Israel link
65,a85a6061-3d2d-4713-873a-6e20bf0dd401,S2_mid,Andean,Keiko Fujimori,0.4076,2,"Peru takes ultraconservative turn as Fujimori becomes president — Peru's new president Keiko Fujimori was sworn in on July 28, taking her oath of office before the country's Congress. The conservative leader now becomes the Andean nation's 9th chief executive in just 10 years - her electoral victory",AffiliatedWith,0.85,Keiko Fujimori leads the Andean nation Peru,LocatedIn,0.85,"Keiko Fujimori mentioned as the leader of Peru, an Andean nation",REJECT,,Andean refers to Peru; co-mention with Fujimori shows no direct tie,REJECT,,Andean region not directly linked to Fujimori
66,b317e410-96c2-4aa6-9efb-b16c6851a62e,S2_mid,France,SEOUL,0.35,1,"Ryu Hae-ran captures 2nd straight LPGA major title in France — SEOUL, July 12 (Yonhap) -- Ryu Hae-ran captured her second straight LPGA major t... co_mentioned: LPGA, Ryu Hae - ran, Yonhap",REJECT,,Only dateline co‑mention,REJECT,,"No meaningful relationship between France and SEOUL, as the article mentions a golf tournament and does not imply a connection between the two entities",REJECT,,Co-mention in sports article; no France-Seoul relationship indicated,REJECT,,France and SEOUL merely co‑mentioned
67,b690be95-20e5-4e1c-9d0b-75c8e1d240bc,S2_mid,Liberia,United States,0.3058,1,"Liberia: Trump Faith Adviser Hails Liberia's Resilience — [New Dawn] Paula White-Cain, senior adviser to U.S. President Donald Trump's White House Faith Office, has described Liberia's 179-year history as a testament to faith, resilience and what she called God's sustaining grace. co_mentioned: Dona",REJECT,,"Only supportive comment, no concrete action",LocatedIn,0.85,"United States mentioned as the country of origin for Paula White-Cain, who is describing Liberia's history",AffiliatedWith,0.75,US faith adviser praised Liberia's resilience,REJECT,,No concrete Liberia‑US relationship indicated
68,ba490a50-a24f-4413-af51-d52db43d1672,S2_mid,England,South Africa,0.3486,1,South Africa captain Kolisi taken out of team before England clash co_mentioned: Kolisi,REJECT,,Mentioned only in sports context,REJECT,,"No meaningful relationship between England and South Africa, as the article mentions a sports event and does not imply a connection between the two entities",REJECT,,Co-mention in sports news; no England-South Africa relationship,REJECT,,England and South Africa only co‑mentioned in sports context
69,bed07c7c-6e40-40df-bb91-0cbd65309ee7,S2_mid,S. Korea,United Kingdom,0.3403,1,"S. Korea discusses security ties, global challenges with EU, Britain — MANILA, July 24 (Yonhap) -- Foreign Minister Cho Hyun has agreed with his Europe... co_mentioned: Cho Hyun, Europe, European Union, MANILA, Yonhap",AlliedWith,0.6,Discussed security ties with Britain,MemberOf,0.85,"S. Korea mentioned as discussing security ties with the EU and the UK, implying a connection through the EU",AffiliatedWith,0.65,Security ties discussed via EU as framework,AlliedWith,0.7,Discussed security ties with Britain
70,c5bb1e60-1696-426b-9032-fafdde46e099,S2_mid,Italy,White House,0.3229,1,"UniCredit closes in on Commerzbank takeover — Italy's second biggest bank, Unicredit, is closing in on a takeover of Germany's second biggest bank Commerzbank after saying it secured 47.6% of the lender's shares on Wednesday. The move is facing widespread opposition in Germany, notably from the fede",REJECT,,No direct link in evidence,LocatedIn,0.85,"Italy mentioned as the country of origin for UniCredit, which is taking over Commerzbank, a German bank",REJECT,,Co-mention in banking news; no Italy-White House relationship,REJECT,,Italy and White House not linked in evidence
71,c922ecff-d87d-4517-926e-d66b2a396fbe,S2_mid,Ra’am,anti - Netanyahu,0.3853,2,"A Jewish MK on Ra’am’s slate could reshape the anti-Netanyahu coalition map — <p>Yesh Atid’s Yoav Segalovitz, who has a track record of tackling crime in the Arab sector, is apparently being courted by Mansour Abbas's Arab party; it could be a major boost to the anti-Netanyahu bloc, but the path to ",HostileTo,0.6,Ra’am opposes anti‑Netanyahu bloc,AffiliatedWith,0.85,Ra’am mentioned as a party that could potentially join the anti-Netanyahu coalition,REJECT,,Ra’am is opponent of anti-Netanyahu bloc,HostileTo,0.7,Ra’am opposes anti‑Netanyahu bloc
72,ceacab34-1fd7-4014-8b67-cc77ccd72258,S2_mid,Belgium,United Kingdom,0.3316,1,"Authorities identify 6 of 13 victims killed in southern Spain wildfire — Nationals of France, UK, Belgium, US, Spain among those identified co_mentioned: France, Spain, United States",REJECT,,Only co-mentioned as wildfire victims.,REJECT,,No direct relationship between Belgium and the UK in the given context.,NO_VERDICT,,,REJECT,,Victims list only co-mentions Belgium and UK.
73,d3c00193-9a47-4c94-ba1c-3bb01cace340,S2_mid,India,Nigeria,0.3424,1,"OUTCOMES OF THE CHILDREN’S CONSULTATION ON THE DRAFT GENERAL COMMENT NO. 38 ON THE RIGHT TO FREEDOM OF ASSOCIATION — <p>Children and young people aged between 12 and 17 from Bosnia and Herzegovina, Canada, Colombia, Guatemala, India, Ireland, Mexico, the Republic of Moldova, Nigeria, Northern Irelan",REJECT,,Listed together in child consultation participants.,REJECT,,No direct relationship between India and Nigeria in the given context.,NO_VERDICT,,,REJECT,,Children consultation only lists both countries as participants.
74,d41b6104-0532-4eb7-9349-f1d339f7e739,S2_mid,British Steel,London,0.4069,2,"Why is China protesting about the nationalisation of British Steel? — The UK move to take over British Steel fuels a brewing dispute with China amid political leadership change in London. co_mentioned: China, United Kingdom",REJECT,,"Mentioned in dispute context, no direct link.",HostileTo,0.85,China is protesting about the nationalisation of British Steel.,NO_VERDICT,,,REJECT,,"British Steel and London merely co-mentioned, no link."
75,db71f827-9501-4b47-8dd9-2ea3dbb88abc,S2_mid,Mansour Abbas,Yesh Atid,0.3946,2,"A Jewish MK on Ra’am’s slate could reshape the anti-Netanyahu coalition map — <p>Yesh Atid’s Yoav Segalovitz, who has a track record of tackling crime in the Arab sector, is apparently being courted by Mansour Abbas's Arab party; it could be a major boost to the anti-Netanyahu bloc, but the path to ",AlliedWith,0.65,Abbas's party courting Yesh Atid for coalition.,AffiliatedWith,0.85,Mansour Abbas's Arab party is being courted by Yesh Atid.,NO_VERDICT,,,AlliedWith,0.6,Potential political alliance discussed.
76,dc7138cc-0055-4893-ad06-e3ac6a474585,S2_mid,Azerbaijan,SOCAR,0.3946,2,"Azerbaijani pipelines act as critical 'arteries' linking Caspian gas to Europe, says SOCAR Executive — In an interview with Euronews, SOCAR energy executives discussed Azerbaijan’s expanding role in European energy security, following a 56 per cent increase in natural gas exports to the EU since 202",AffiliatedWith,0.6,SOCAR is Azerbaijan's state oil company.,LeaderOf,0.85,SOCAR energy executives are from Azerbaijan.,NO_VERDICT,,,AffiliatedWith,0.7,SOCAR described as Azerbaijani pipeline operator.
77,ddf95582-0165-4160-9a04-f0e3cc678d7d,S2_mid,Black Sea,United Kingdom,0.3129,1,"**⚡️Ukraine**[** strikes Russian shadow fleet tanker**](https://kyivindependent.com/ukraine-strikes-russian-shadow-fleet-tanker-in-black-sea-military-infrastructure-general-staff-says/)** in Black Sea, military infrastructure, General Staff says.** ** **The tanker is subject to sanctions imposed by ",REJECT,,Geographic region and UK co-mentioned via sanctions.,AlliedWith,0.85,"The UK is among the countries imposing sanctions on Russia, which Ukraine is targeting in the Black Sea.",NO_VERDICT,,,REJECT,,Black Sea and UK only co-occur in sanctions context.
78,e1d24af2-6ac4-453b-9108-1880046c0121,S2_mid,Anastasiia Berezovska,Interpol,0.4076,2,Ukrainian woman identified as main suspect in Monaco bombing — Interpol has identified 39-year-old Anastasiia Berezovska as the main suspect in Monday’s bombing in Monaco. co_mentioned: Ukraine,Targets,0.9,Interpol identified her as main suspect.,Targets,0.85,Interpol has identified Anastasiia Berezovska as the main suspect in the Monaco bombing.,NO_VERDICT,,,InvolvedIn,0.9,Interpol identified her as main suspect.
79,e9787b0b-8951-434c-bed3-40ec6e13774a,S2_mid,Europe,Peru,0.3,1,"13 killed after plane carrying European tourists to view Peru's Nazca Lines crashes | What happened — President Keiko Fujimori expressed regret over the plane crash&nbsp;in which all 13 people on board were killed.&nbsp; co_mentioned: Keiko Fujimori, Nazca Lines",REJECT,,Co-mentioned in plane crash report.,LocatedIn,0.85,"The plane crash occurred in Peru, where European tourists were visiting.",NO_VERDICT,,,REJECT,,Europe and Peru only linked via tourist crash.
80,033c2cc5-13ed-4789-a0a9-232e929539b2,S3_high,Arbaeen Headquarters,IRNA,0.4918,2,"🖥 **Official: 2.5 million pilgrims crossed Iran’s Mehran border for Arbaeen so far** 📌 Tehran, IRNA – The head of Iran’s Arbaeen Headquarters, Ali-Akbar Pourjamshidian, says that nearly 2.5 million Arbaeen crossings have been recorded at Iran’s Mehran border so far. During the Arbaeen task force mee",REJECT,,"IRNA reported on Arbaeen, no directed relationship.",AffiliatedWith,0.85,The head of Iran's Arbaeen Headquarters is quoted by IRNA.,NO_VERDICT,,,InvolvedIn,0.85,IRNA reported on Arbaeen pilgrim numbers.
81,12754069-edd7-4a01-8ab6-7b5395064b68,S3_high,Greenland,Mark Rutte,0.4679,2,"**Mark Rutte secured the NATO Secretary General post partly due to his ability to engage with US President Donald Trump and de-escalate tensions around the alliance, **The New York Times reported. When Trump raised the possibility of using force against Denmark over Greenland, Rutte told him NATO ca",REJECT,,"Rutte discussed Greenland, no direct relationship.",InvolvedIn,0.85,Mark Rutte is mentioned in the context of Greenland.,NO_VERDICT,,,InvolvedIn,0.6,Rutte discussed NATO stance on Greenland.
82,17891773-6b6c-47a1-a0b0-8609915577e1,S3_high,IRNA,Iran Air Flight 655,0.4846,2,"📡 **US crime against Flight 655 will never be forgotten: Iran’s official** 📌 Tehran, IRNA – Iranian Foreign Ministry spokesperson Esmaeil Baqaei has commemorated the anniversary of the 1988 downing of an Iranian passenger aircraft by a US warship, describing the incident as one of the gravest crimes",REJECT,,"IRNA commemorated flight, not a directed action.",LeaderOf,0.85,IRNA is an Iranian news agency.,NO_VERDICT,,,InvolvedIn,0.9,IRNA commemorated the downing of Flight 655.
83,19298147-09d6-4d6b-91fb-43166e401423,S3_high,Argentina,Latin America,0.5225,2,"اتفاقيات إسحاق.. جسر أرجنتيني لإسرائيل نحو أمريكا اللاتينية — اتفاقيات أطلقت في أبريل/نيسان 2026 برعاية أرجنتينية، بهدف تعزيز التعاون الدبلوماسي والاقتصادي والثقافي بين إسرائيل ودول أمريكا اللاتينية، في ظل تصاعد الضغوط عليها إثر حرب الإبادة التي شنتها على غزة. co_mentioned: Gaza, Israel, Latin Ameri",PartOf,0.9,Argentina is a country within Latin America.,MemberOf,0.85,Argentina is a member of Latin America.,NO_VERDICT,,,PartOf,0.95,Argentina is a country within Latin America.
84,198ba832-2898-4f49-b2b3-094e28794f53,S3_high,Judiciary,United Nations,0.5448,2,"Ex-president Cristina Fernández de Kirchner takes graft conviction to UN Human Rights Committee — <p><img alt=""Cristina Fernández de Kirchner STOCK"" src=""https://fotos.perfil.com/2026/06/17/trim/540/304/cristina-fernandez-de-kirchner-stock-2263176.jpg"" /></p>Convicted ex-president takes case to UN r",InvolvedIn,0.6,Judiciary filed case with UN Human Rights Committee,Targets,0.85,CFK seeks international scrutiny of Judiciary at UN,Targets,0.6,Judiciary criticized via UN rights body by ex-president,InvolvedIn,0.6,UN human rights body reviewing judiciary case
85,1ce2f13e-8268-46df-98c4-4cf9e768c9be,S3_high,Hamas,Rafah,0.5249,2,"‘We believe Hamas will not disarm,’ Israeli-backed militia figure in Gaza tells ‘Post’ — <img align=""right"" alt=""Palestinian Hamas terrorists stand guard on the day of the handover of hostages held in Gaza since the deadly October 7 2023 attack, as part of a ceasefire and a hostages-prisoners swap d",OperatesIn,0.6,Hamas active in Rafah area of Gaza,LocatedIn,0.85,"Hamas operates in Gaza, including Rafah",OperatesIn,0.85,"Hamas operates in Gaza, which includes Rafah",OperatesIn,0.75,Hamas controls and operates in Rafah area
86,2431ed37-d32c-432c-aef4-95ed8d01e45e,S3_high,Havat Gilad,Nablus,0.4918,2,"**The Israel Defense Forces (IDF) has launched a large-scale counterterrorism operation in the Palestinian city of Nablus in the West Bank**, an army source told TASS. The operation is focused on Nablus and the surrounding security zones, he said. According to the source, the operation aims to ident",LocatedIn,0.85,Outpost Havat Gilad situated near Nablus,Targets,0.85,IDF launches counterterrorism operation in Nablus,LocatedIn,0.6,Havat Gilad is an outpost near Nablus,REJECT,,"Only geographic co‑mention, no directed relationship"
87,263dda19-ecc9-4afa-bd10-9d98af762d73,S3_high,Alexander Bastrykin,the Russian Investigative Committee,0.5225,2,"**Mercenaries from more than 70 countries are fighting for Ukraine driven by a desire to earn easy money**, Russian Investigative Committee head Alexander Bastrykin said in an interview with TASS. ""Mercenaries have arrived in Ukraine from more than 70 nations, including Georgia, the United States, t",LeaderOf,0.9,Bastrykin heads the Russian Investigative Committee,REJECT,,No direct relationship between Bastrykin and the Russian Investigative Committee,LeaderOf,0.85,Bastrykin is head of the Russian Investigative Committee,LeaderOf,0.9,Bastrykin heads the Investigative Committee
88,2e1aae9d-a003-4936-bdd7-f5beb2045373,S3_high,Prada,Saint Levant,0.4846,2,Prada faces online backlash after naming Palestinian singer Saint Levant brand ambassador — Pro-Israel social media users call for boycott over pendant worn in promotional video as luxury fashion house remains silent co_mentioned: Pro - Israel,AffiliatedWith,0.6,Prada named Saint Levant as brand ambassador,AffiliatedWith,0.85,Prada names Palestinian singer Saint Levant brand ambassador,AffiliatedWith,0.6,Prada named Saint Levant as brand ambassador,AffiliatedWith,0.7,Prada appointed Saint Levant as brand ambassador
89,34d8e4e9-1e26-45af-9f5e-b71e46c97059,S3_high,Taiwan,the China Coast Guard,0.5446,2,"China Coast Guard Patrols East of Taiwan, Angering Taipei co_mentioned: Taipei",HostileTo,0.6,"China Coast Guard patrols near Taiwan, causing anger",HostileTo,0.85,"China Coast Guard patrols east of Taiwan, angering Taipei",HostileTo,0.6,"China Coast Guard patrols near Taiwan, angering Taipei",HostileTo,0.8,"CCG patrols near Taiwan, angering Taipei"
90,37e191d3-f25d-49ff-8f9d-fccbbc130c90,S3_high,Capitol,Senate,0.5199,2,"Dr. Anthony Fauci invokes 5th Amendment, declining to answer questions at Senate hearing — <img alt=""A white-haired man sits in front of a microphone at a table, in a suit and tie."" height=""349"" src=""https://i.cbc.ca/ais/7f1f22a0-118a-4bd8-8791-1c7189c9d2ff,1785331364873/full/max/0/default.jpg?im=Cr",PartOf,0.85,Senate meets within the Capitol building,REJECT,,No direct relationship between Capitol and Senate,LocatedIn,0.6,Senate located in US Capitol complex,LocatedIn,0.85,Senate chambers are located within the Capitol
91,3e7109ff-6934-4afc-886d-6ea3432c1ace,S3_high,IRNA,Mohsin Naqvi,0.5379,2,"Pakistan, Iran pledge joint efforts for regional peace as interior ministers meet in Islamabad — Tehran, IRNA – Pakistan’s Interior Minister Mohsin Naqvi says that his country and Islamic Republic of Iran will work together to achieve regional peace and advance the welfare of their two nations, as s",REJECT,,IRNA merely reports Mohsin Naqvi's statement,AffiliatedWith,0.85,IRNA reports on meeting between Pakistan and Iran interior ministers,InvolvedIn,0.6,IRNA reports on Iran-Pakistan talks involving Naqvi,REJECT,,"IRNA news report, no direct link to Mohsin Naqvi"
92,42e27f65-7add-4768-89c1-0fd1f46dd5b6,S3_high,Dubna,Russia,0.5069,2,"**Зеленский заявил, что ВСУ нанесли повторный удар по центру космической связи в Дубне** «Сегодня наши дальнобойные санкции против России за эту войну повторно достигли центра космической связи „Дубна“ в московском регионе», — написал Владимир Зеленский. По его словам, это «особый объект спутниковой",LocatedIn,0.9,Dubna is a city within Russia,HostileTo,0.85,Ukraine strikes Russian center of space communication in Dubna,LocatedIn,0.85,Dubna is a Russian scientific center in Moscow region,LocatedIn,0.9,Dubna is a city within Russian territory
93,456cbc3c-3d7c-4b2b-b62d-46979def97ee,S3_high,Dulles International Airport,Trump,0.4846,2,Trump announces $22bn plan to rebuild Dulles international airport — <p>Planned overhaul forms part of president’s broader pattern of directing changes in Washington after arch and ballroom</p><p>Donald Trump announced on Wednesday a $22bn plan to rebuild Washington’s Dulles international airport on,InvolvedIn,0.6,Trump announced $22bn rebuild plan for Dulles,LeaderOf,0.85,Trump announces plan to rebuild Dulles International Airport,ConductedVia,0.6,Trump announced plan to rebuild Dulles airport,InvolvedIn,0.7,Trump announced plan to rebuild Dulles airport
94,478e526c-ba1e-4990-b378-7bb03e5d06e9,S3_high,France,UEFA Champions League,0.5446,2,"⚽️ **Three-time UEFA Champions League winner Zinedine Zidane has been appointed head coach of the French national football team ** Photo: Equipe de France/X co_mentioned: Equipe de France, Zinedine Zidane",REJECT,,France and Champions League only co‑mentioned,LeaderOf,0.85,Zidane appointed head coach of French national football team,AffiliatedWith,0.6,French national team coach is former UCL winner,REJECT,,Only co‑mention of France and Champions League
